symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50
RELIANCE.NS,2023-10-05,1,momentum,1143.26,31.4,37.06252313947429,1118.34,1193.11,ADX greater than 25,stop_loss_hit,1118.34,2023-10-23,12,-2.18,False,False,False,False,False,True,False,False
INFY.NS,2023-10-06,2,momentum,1345.27,57.2,21.743488537526908,1313.92,1407.98,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1313.92,2023-10-13,5,-2.33,True,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-06,1,momentum,1145.19,32.7,37.64338106349535,1121.38,1192.81,ADX greater than 25,stop_loss_hit,1121.38,2023-10-23,11,-2.08,False,False,False,False,False,True,False,False
INFY.NS,2023-10-09,2,momentum,1342.32,56.0,21.233965239370555,1310.39,1406.17,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1310.39,2023-10-13,4,-2.38,True,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-09,1,momentum,1135.43,29.7,38.54978108166103,1112.1,1182.1,ADX greater than 25,stop_loss_hit,1112.1,2023-10-25,11,-2.05,False,False,False,False,False,True,False,False
INFY.NS,2023-10-10,2,momentum,1360.24,61.3,21.018573398159496,1327.87,1424.98,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1327.87,2023-10-12,2,-2.38,True,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-10,2,momentum,1140.45,33.1,39.02390181176331,1117.74,1185.86,RSI bounced off oversold; ADX greater than 25,stop_loss_hit,1117.74,2023-10-23,9,-1.99,False,True,False,False,False,True,False,False
INFY.NS,2023-10-11,3,momentum,1359.56,61.0,21.614686557824395,1325.92,1426.83,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover,stop_loss_hit,1325.92,2023-10-12,1,-2.47,True,True,True,False,False,False,False,False
RELIANCE.NS,2023-10-11,3,momentum,1158.55,43.5,37.82055799871834,1135.29,1205.08,RSI bounced off oversold; MACD bullish crossover; ADX greater than 25,stop_loss_hit,1135.29,2023-10-20,7,-2.01,False,True,True,False,False,True,False,False
INFY.NS,2023-10-12,3,momentum,1333.26,50.6,20.596181634926207,1296.92,1405.95,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg),stop_loss_hit,1296.92,2023-10-13,1,-2.73,True,True,False,True,False,False,False,False
RELIANCE.NS,2023-10-12,3,momentum,1160.7,44.6,36.27662847055986,1137.97,1206.17,RSI bounced off oversold; MACD bullish crossover; ADX greater than 25,stop_loss_hit,1137.97,2023-10-19,5,-1.96,False,True,True,False,False,True,False,False
INFY.NS,2023-10-13,1,momentum,1302.01,41.5,20.462393692655006,1261.88,1382.28,Volume spike (>1.5x avg),stop_loss_hit,1261.88,2023-10-25,7,-3.08,False,False,False,True,False,False,False,False
RELIANCE.NS,2023-10-13,2,momentum,1160.65,44.6,35.12155895297302,1138.05,1205.86,MACD bullish crossover; ADX greater than 25,stop_loss_hit,1138.05,2023-10-19,4,-1.95,False,False,True,False,False,True,False,False
RELIANCE.NS,2023-10-16,1,momentum,1158.06,43.4,34.04852891453742,1136.09,1202.0,ADX greater than 25,stop_loss_hit,1136.09,2023-10-20,4,-1.9,False,False,False,False,False,True,False,False
INFY.NS,2023-10-17,1,momentum,1312.29,45.2,19.374613741916637,1274.59,1387.7,RSI in healthy zone,stop_loss_hit,1274.59,2023-10-25,5,-2.87,False,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-17,2,momentum,1163.59,46.7,32.79117207627724,1142.22,1206.34,RSI in healthy zone; ADX greater than 25,stop_loss_hit,1142.22,2023-10-19,2,-1.84,False,True,False,False,False,True,False,False
RELIANCE.NS,2023-10-18,1,momentum,1148.15,39.8,32.30545738701482,1125.87,1192.72,ADX greater than 25,stop_loss_hit,1125.87,2023-10-23,3,-1.94,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-19,1,momentum,1139.34,36.5,32.42459097464864,1117.42,1183.17,ADX greater than 25,stop_loss_hit,1117.42,2023-10-23,2,-1.92,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-20,1,momentum,1135.85,35.2,32.66296367664222,1114.53,1178.5,ADX greater than 25,stop_loss_hit,1114.53,2023-10-23,1,-1.88,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-23,1,momentum,1118.12,29.7,33.81123034722413,1095.62,1163.11,ADX greater than 25,target_hit,1163.11,2023-11-15,15,4.02,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-25,1,momentum,1115.52,28.9,35.08877315663229,1092.61,1161.35,ADX greater than 25,target_hit,1161.35,2023-11-15,14,4.11,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-26,2,momentum,1099.98,25.0,36.64595755279573,1076.71,1146.53,Volume spike (>1.5x avg); ADX greater than 25,target_hit,1146.53,2023-10-30,2,4.23,False,False,False,True,False,True,False,False
