symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback
JINDALSTEL.NS,2026-01-02,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1080.3,65.9,1033.72,1150.17,stop_loss_hit,1033.72,2026-01-08,4,-4.31,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False
JIOFIN.NS,2026-01-02,5,RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; Open-Low Same (conviction buy),301.7,54.6,290.05,319.18,stop_loss_hit,290.05,2026-01-09,5,-3.86,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False
JSWSTEEL.NS,2026-01-02,5,Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1180.7,65.7,1133.1,1252.1,timeout,1170.0,2026-01-23,15,-0.91,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False
KOTAKBANK.NS,2026-01-02,4,RSI in healthy zone; MACD bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),439.02,60.5,423.22,462.72,stop_loss_hit,423.22,2026-01-07,3,-3.6,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False
LT.NS,2026-01-02,7,Uptrend (above rising SMA50); MACD bullish crossover; Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,4123.13,68.8,3996.86,4312.53,stop_loss_hit,3996.86,2026-01-08,4,-3.06,True,False,True,False,True,False,False,False,False,True,False,True,True,True,False
LTM.NS,2026-01-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),5986.77,47.7,5776.14,6302.71,target_hit,6302.71,2026-01-19,11,5.28,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
M&M.NS,2026-01-02,6,Uptrend (above rising SMA50); MACD bullish crossover; Near 20-day high; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,3802.4,66.4,3648.1,4033.85,stop_loss_hit,3648.1,2026-01-12,6,-4.06,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False
MARUTI.NS,2026-01-02,7,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,16960.0,68.3,16504.56,17643.16,stop_loss_hit,16504.56,2026-01-09,5,-2.69,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False
MAXHEALTH.NS,2026-01-02,3,MACD bullish crossover; ADX greater than 25; Volume contracting (low selling pressure),1062.6,43.8,1003.21,1151.68,stop_loss_hit,1003.21,2026-01-12,6,-5.59,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
MAZDOCK.NS,2026-01-02,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),2486.75,45.4,2345.65,2698.41,stop_loss_hit,2345.65,2026-01-20,12,-5.67,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
MOTHERSON.NS,2026-01-02,8,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Weekly trend aligned (above Weekly EMA20); Outperforming index,121.66,64.0,116.6,129.26,stop_loss_hit,116.6,2026-01-09,5,-4.16,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False
MUTHOOTFIN.NS,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),3788.76,58.9,3632.21,4023.6,timeout,3770.9150390625,2026-01-23,15,-0.47,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False
NESTLEIND.NS,2026-01-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1272.83,59.3,1234.77,1329.91,timeout,1286.8521728515625,2026-01-23,15,1.1,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
NSEI,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20),26328.55,62.4,25887.59,26989.99,stop_loss_hit,25887.59,2026-01-08,4,-1.67,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False
NTPC.NS,2026-01-02,5,Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,349.46,80.7,339.04,365.09,stop_loss_hit,339.04,2026-01-09,5,-2.98,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False
ONGC.NS,2026-01-02,6,RSI in healthy zone; Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20),235.91,56.8,228.38,247.2,stop_loss_hit,228.38,2026-01-08,4,-3.19,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False
PFC.NS,2026-01-02,6,Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Strong RSI momentum,369.35,68.0,354.36,391.83,stop_loss_hit,354.36,2026-01-09,5,-4.06,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
PIDILITIND.NS,2026-01-02,5,RSI in healthy zone; MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure),1478.2,54.3,1426.11,1556.33,stop_loss_hit,1426.11,2026-01-21,13,-3.52,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False
