symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support
RELIANCE.NS,2025-03-17,2,momentum,1228.24,52.7,21.15521012922309,1191.97,1300.79,RSI in healthy zone; Volume spike (>1.5x avg),stop_loss_hit,1191.97,2025-04-04,13,-2.95,False,True,False,True,False,False,False,False,False,False,False
TCS.NS,2025-03-17,1,momentum,3335.63,26.8,45.45763838235975,3237.73,3531.44,ADX greater than 25,target_hit,3531.44,2025-03-25,6,5.87,False,False,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-18,1,momentum,1511.64,26.3,45.320482575218364,1451.16,1632.59,ADX greater than 25,stop_loss_hit,1451.16,2025-04-01,9,-4.0,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-18,1,momentum,1228.24,52.7,20.209476215217485,1194.56,1295.61,RSI in healthy zone,target_hit,1295.61,2025-03-25,5,5.49,False,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-03-18,1,momentum,3335.63,26.8,46.069142840970756,3244.72,3517.46,ADX greater than 25,target_hit,3517.46,2025-03-25,5,5.45,False,False,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-19,1,momentum,1508.31,26.0,46.867880881244204,1449.08,1626.76,ADX greater than 25,stop_loss_hit,1449.08,2025-04-01,8,-3.93,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-19,4,momentum,1236.47,55.1,19.9680271903495,1203.66,1302.1,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy),stop_loss_hit,1203.66,2025-04-04,11,-2.65,True,True,False,False,True,False,False,False,True,False,False
TCS.NS,2025-03-19,1,momentum,3335.06,26.7,45.3810399938413,3242.03,3521.12,ADX greater than 25,target_hit,3521.12,2025-03-25,4,5.58,False,False,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-20,3,momentum,1535.88,33.1,47.09038836002792,1476.26,1655.11,RSI bounced off oversold; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,1476.26,2025-04-01,7,-3.88,False,True,False,False,False,True,False,False,True,False,False
RELIANCE.NS,2025-03-20,4,momentum,1258.28,60.8,20.449405721080076,1225.07,1324.71,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy),stop_loss_hit,1225.07,2025-04-03,9,-2.64,True,True,False,False,True,False,False,False,True,False,False
TCS.NS,2025-03-20,3,momentum,3398.05,37.4,44.03247050600863,3303.3,3587.55,RSI bounced off oversold; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,3303.3,2025-04-03,9,-2.79,False,True,False,False,False,True,False,False,True,False,False
INFY.NS,2025-03-21,2,momentum,1514.01,30.6,47.639539797354914,1453.37,1635.3,RSI bounced off oversold; ADX greater than 25,stop_loss_hit,1453.37,2025-04-01,6,-4.01,False,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-21,4,momentum,1265.42,62.4,21.157775906130684,1233.32,1329.63,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Near 20-day high,stop_loss_hit,1233.32,2025-04-02,7,-2.54,True,True,False,True,True,False,False,False,False,False,False
TCS.NS,2025-03-21,2,momentum,3412.31,39.6,43.32314205715877,3308.87,3619.18,RSI bounced off oversold; ADX greater than 25,stop_loss_hit,3308.87,2025-04-03,8,-3.03,False,True,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-24,2,momentum,1514.2,30.6,48.02391695005531,1454.38,1633.85,RSI bounced off oversold; ADX greater than 25,stop_loss_hit,1454.38,2025-04-01,5,-3.95,False,True,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-24,4,momentum,1290.95,67.7,22.5362105896821,1258.0,1356.85,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; Strong RSI momentum,stop_loss_hit,1258.0,2025-03-26,2,-2.55,True,False,False,True,True,False,False,False,False,True,False
TCS.NS,2025-03-24,2,momentum,3460.8,46.3,41.95310646254832,3356.26,3669.88,RSI in healthy zone; ADX greater than 25,stop_loss_hit,3356.26,2025-04-03,7,-3.02,False,True,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-25,3,momentum,1548.14,38.9,47.25970798504846,1488.18,1668.06,MACD bullish crossover; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,1488.18,2025-03-28,3,-3.87,False,False,True,False,False,True,False,False,True,False,False
RELIANCE.NS,2025-03-25,2,momentum,1274.44,61.7,23.85839810689394,1241.18,1340.97,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1241.18,2025-04-01,4,-2.61,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-03-25,3,momentum,3488.27,49.8,39.558320014228066,3382.91,3698.98,RSI in healthy zone; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,3382.91,2025-04-01,4,-3.02,False,True,False,False,False,True,False,False,True,False,False
INFY.NS,2025-03-26,2,momentum,1520.57,35.2,46.715530860185986,1460.53,1640.65,MACD bullish crossover; ADX greater than 25,stop_loss_hit,1460.53,2025-04-01,3,-3.95,False,False,True,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-26,2,momentum,1262.15,57.6,24.23798922178596,1228.6,1329.25,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1228.6,2025-04-03,5,-2.66,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-03-26,2,momentum,3467.33,47.3,37.514586440024694,3363.92,3674.16,RSI in healthy zone; ADX greater than 25,stop_loss_hit,3363.92,2025-04-01,3,-2.98,False,True,False,False,False,True,False,False,False,False,False
INFY.NS,2025-03-27,2,momentum,1524.47,36.1,46.35636682643719,1465.26,1642.89,MACD bullish crossover; ADX greater than 25,stop_loss_hit,1465.26,2025-04-01,2,-3.88,False,False,True,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-27,2,momentum,1267.26,58.8,24.60979958680591,1234.65,1332.47,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1234.65,2025-04-02,3,-2.57,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-03-27,4,momentum,3482.02,49.2,35.836819649313675,3380.63,3684.8,RSI in healthy zone; Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,3380.63,2025-04-01,2,-2.91,False,True,False,False,True,True,False,False,True,False,False
INFY.NS,2025-03-28,1,momentum,1493.19,32.2,46.42361156042228,1433.78,1612.02,ADX greater than 25,stop_loss_hit,1433.78,2025-04-03,3,-3.98,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-28,3,momentum,1264.18,57.7,25.30030818740832,1231.06,1330.43,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1231.06,2025-04-03,3,-2.62,True,True,False,False,False,True,False,False,False,False,False
TCS.NS,2025-03-28,1,momentum,3439.06,44.2,34.55027782635886,3337.86,3641.45,ADX greater than 25,stop_loss_hit,3337.86,2025-04-03,3,-2.94,False,False,False,False,False,True,False,False,False,False,False
INFY.NS,2025-04-01,1,momentum,1451.22,27.8,47.02163387635868,1390.67,1572.32,ADX greater than 25,stop_loss_hit,1390.67,2025-04-04,3,-4.17,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-04-01,2,momentum,1241.88,50.4,24.764953249423765,1208.08,1309.47,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1208.08,2025-04-04,3,-2.72,True,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-04-01,1,momentum,3386.27,38.9,34.200877678476544,3284.01,3590.8,ADX greater than 25,stop_loss_hit,3284.01,2025-04-03,2,-3.02,False,False,False,False,False,True,False,False,False,False,False
