symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback,pointer_stoch_pullback,pointer_bb_pullback,pointer_inside_bar_breakout,pointer_nr7_breakout,pointer_ema21_pullback,pointer_hammer_at_support
COALINDIA.NS,2026-03-04,7,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Near 20-day high; Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index,435.15,58.0,414.05,454.7317499999999,target_hit,454.7317499999999,2026-03-05,1,4.5,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
CUMMINSIND.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,4584.8,51.5,4311.42,4791.116,target_hit,4791.116,2026-03-05,1,4.5,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
DIVISLAB.NS,2026-03-04,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,6316.0,52.1,5992.83,6600.219999999999,stop_loss_hit,5992.83,2026-03-16,8,-5.12,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
DRREDDY.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index; Bollinger Band lower support pullback,1291.2,56.4,1228.94,1349.3039999999999,timeout,1300.699951171875,2026-03-25,15,0.74,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
EICHERMOT.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,7626.5,47.5,7222.51,7969.692499999999,stop_loss_hit,7222.51,2026-03-12,6,-5.3,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
HINDZINC.NS,2026-03-04,4,MACD bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,580.64,44.2,525.49,606.7687999999999,stop_loss_hit,525.49,2026-03-16,8,-9.5,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
IOC.NS,2026-03-04,4,Uptrend (above rising SMA50); ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,168.32,44.9,158.74,175.8944,stop_loss_hit,158.74,2026-03-09,3,-5.69,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
JINDALSTEL.NS,2026-03-04,6,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,1168.4,46.5,1101.77,1220.978,target_hit,1220.978,2026-03-12,6,4.5,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
MAXHEALTH.NS,2026-03-04,4,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Outperforming index,1053.7,48.2,1000.61,1101.1164999999999,stop_loss_hit,1000.61,2026-03-13,7,-5.04,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NTPC.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,365.8,50.3,349.32,382.26099999999997,target_hit,382.26099999999997,2026-03-06,2,4.5,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
ONGC.NS,2026-03-04,6,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,276.95,61.7,261.33,289.41274999999996,stop_loss_hit,261.33,2026-03-16,8,-5.64,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
PFC.NS,2026-03-04,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,393.43,47.3,370.01,411.13435,target_hit,411.13435,2026-03-05,1,4.5,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
POWERGRID.NS,2026-03-04,7,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Recent SMA50/SMA100 bullish crossover; Weekly trend aligned (above Weekly EMA20); Outperforming index,291.95,53.2,278.05,305.08774999999997,target_hit,305.08774999999997,2026-03-13,7,4.5,True,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
SBIN.NS,2026-03-04,7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,1153.7,56.3,1106.34,1205.6164999999999,stop_loss_hit,1106.34,2026-03-09,3,-4.11,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
SIEMENS.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,3161.0,47.4,2936.84,3303.245,target_hit,3303.245,2026-03-06,2,4.5,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
SOLARINDS.NS,2026-03-04,6,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,14523.0,67.7,13620.42,15176.535,target_hit,15176.535,2026-03-06,2,4.5,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
SUNPHARMA.NS,2026-03-04,5,RSI in healthy zone; Volume spike (>1.5x avg); Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,1750.5,58.3,1687.81,1829.2724999999998,target_hit,1829.2724999999998,2026-03-11,5,4.5,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
TATASTEEL.NS,2026-03-04,4,Uptrend (above rising SMA50); Volume spike (>1.5x avg); ADX greater than 25; Weekly trend aligned (above Weekly EMA20),192.75,44.2,180.1,201.42374999999998,stop_loss_hit,180.1,2026-03-13,7,-6.56,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
TITAN.NS,2026-03-04,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,4204.4,50.0,4028.26,4393.597999999999,stop_loss_hit,4028.26,2026-03-16,8,-4.19,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
TORNTPHARM.NS,2026-03-04,5,Uptrend (above rising SMA50); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,4332.39,65.5,4127.98,4527.34755,timeout,4288.9765625,2026-03-25,15,-1.0,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False
TVSMOTOR.NS,2026-03-04,5,RSI in healthy zone; Volume spike (>1.5x avg); Pullback to SMA100 support; Weekly trend aligned (above Weekly EMA20); Outperforming index,3733.65,45.5,3536.19,3901.66425,stop_loss_hit,3536.19,2026-03-12,6,-5.29,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
