symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index
HAL.NS,2026-04-22,6,Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,4400.6,70.0,4172.55,4742.68,target_hit,4742.68,2026-05-07,11,7.77,False,False,False,False,True,True,False,False,False,True,False,True,True,True
HDFCAMC.NS,2026-04-22,7,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,2707.19,62.6,2520.24,2987.61,timeout,2595.5302734375,2026-05-13,15,-4.12,True,True,False,False,True,True,False,False,False,False,False,True,True,True
HDFCBANK.NS,2026-04-22,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),786.89,47.9,741.61,854.8,stop_loss_hit,741.61,2026-05-12,14,-5.75,False,True,False,False,False,True,False,False,False,False,False,True,False,False
HINDALCO.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1039.9,66.9,979.81,1130.04,timeout,1073.0999755859375,2026-05-13,15,3.19,True,False,False,False,True,False,False,False,False,True,False,True,True,True
HINDUNILVR.NS,2026-04-22,7,Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,2368.8,70.1,2247.41,2550.89,stop_loss_hit,2247.41,2026-04-30,6,-5.12,False,False,False,True,True,True,False,False,True,True,False,False,True,True
HINDZINC.NS,2026-04-22,6,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,593.9,64.2,555.26,651.86,target_hit,651.86,2026-05-12,14,9.76,False,True,False,False,True,False,False,False,False,False,True,True,True,True
HYUNDAI.NS,2026-04-22,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),1849.5,46.5,1726.32,2034.27,timeout,1853.4000244140625,2026-05-13,15,0.21,False,True,False,False,False,True,False,False,False,False,False,True,False,False
ICICIBANK.NS,2026-04-22,5,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1367.6,60.8,1300.96,1467.56,stop_loss_hit,1300.96,2026-04-28,4,-4.87,False,True,False,False,False,True,False,False,False,False,False,True,True,True
INDHOTEL.NS,2026-04-22,4,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Outperforming index,659.7,58.9,620.48,718.53,timeout,637.4000244140625,2026-05-13,15,-3.38,False,True,False,False,True,False,False,False,False,False,False,True,False,True
IOC.NS,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),147.36,50.9,138.72,160.32,stop_loss_hit,138.72,2026-05-12,14,-5.86,False,True,False,False,True,False,False,False,False,False,False,True,False,False
