date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-05-04,HAL.NS,4559.5,4627.89,4491.11,72.0,2.64,CLOSED,4559.0,-0.01%,4627.89,+1.50%,WIN,2026-07-22T00:50:49.762208
2026-05-07,HAL.NS,4782.1,4853.83,4710.37,78.5,1.66,CLOSED,4794.0,+0.25%,4788.1,+0.13%,WIN,2026-07-22T00:50:49.762251
2026-05-06,HINDPETRO.NS,399.2,405.19,393.21,64.3,1.62,CLOSED,399.4,+0.05%,393.21,-1.50%,LOSS,2026-07-22T00:50:49.767193
2026-06-24,HINDPETRO.NS,412.9,419.09,406.71,62.1,1.24,CLOSED,418.5,+1.36%,419.09,+1.50%,WIN,2026-07-22T00:50:49.768459
2026-02-06,POWERINDIA.NS,21871.0,22199.06,21542.94,72.6,4.45,CLOSED,21900.0,+0.13%,22199.06,+1.50%,WIN,2026-07-22T00:50:49.783658
2026-04-09,POWERINDIA.NS,27315.0,27724.72,26905.27,67.9,1.95,CLOSED,27680.0,+1.34%,27724.72,+1.50%,WIN,2026-07-22T00:50:49.784101
2026-05-20,POWERINDIA.NS,35525.0,36057.88,34992.12,71.4,2.04,CLOSED,35980.0,+1.28%,36057.88,+1.50%,WIN,2026-07-22T00:50:49.784413
2026-05-27,POWERINDIA.NS,37550.0,38113.25,36986.75,73.8,1.94,CLOSED,37550.0,+0.00%,37550.0,+0.00%,LOSS,2026-07-22T00:50:49.784477
2026-04-13,HUDCO.NS,187.97,190.79,185.15,60.1,1.41,CLOSED,190.1,+1.13%,190.79,+1.50%,WIN,2026-07-22T00:50:49.787493
2026-04-23,HUDCO.NS,204.46,207.53,201.39,70.8,1.51,CLOSED,205.48,+0.50%,207.53,+1.50%,WIN,2026-07-22T00:50:49.787581
2026-07-03,HUDCO.NS,215.56,218.79,212.33,60.6,3.21,CLOSED,216.99,+0.66%,212.33,-1.50%,LOSS,2026-07-22T00:50:49.788125
2026-02-04,IOC.NS,170.63,173.19,168.07,72.0,2.58,CLOSED,172.07,+0.85%,173.19,+1.50%,WIN,2026-07-22T00:50:49.838752
